Title,Date,Time,Speaker,ImageURL,Fee
Chemistry Through Correlation: Using Experimental Data to Discover Chemical Relationships,6-Jun-26,1:00 PM - 3:00 PM,Dr. David Penaloza Jr.,https://papsitrainingcenter.weebly.com/uploads/2/5/9/7/25977880/sciencecorrelation-4_orig.png,300
Beyond p-value: Understanding Effect Sizes for Better Research Decisions,13-Jun-26,10:00 AM - 12:00 PM,Dr. Russel Soltura,https://papsitrainingcenter.weebly.com/uploads/2/5/9/7/25977880/beyond-pvalues-poster_orig.png,300
"Basics of Cosmology: The Past, Present, and Future of our Universe",13-Jun-26,1:00 PM - 3:00 PM,Dr. Daryl Joe Santos,https://papsitrainingcenter.weebly.com/uploads/2/5/9/7/25977880/basics-of-cosmology-poster_orig.png,300
